time 	 iteration 	 error 
494596.07	 2	 0.000219878383
494596.07	 3	 0.0002198811029
494603.08	 1	 0.0002199739469
494603.08	 2	 0.0002199747297
494603.08	 3	 0.0002199774215
494610.09	 1	 0.0002200707292
494610.09	 2	 0.000220071571
494610.09	 3	 0.0002200744329
494617.09	 1	 0.0002201727357
494617.09	 2	 0.0002201735632
494617.09	 3	 0.0002201763955
494624.08	 1	 0.000220273665
494624.08	 2	 0.0002202744783
494624.08	 3	 0.0002202772813
494631.07	 1	 0.0002203736436
494631.07	 2	 0.0002203744453
494631.07	 3	 0.0002203772235
494638.05	 1	 0.0002204725588
494638.05	 2	 0.0002204733467
494638.05	 3	 0.0002204760959
494645.03	 1	 0.0002205705283
494645.03	 2	 0.0002205713048
494645.03	 3	 0.0002205740295
494652.01	 1	 0.0002206674416
494652.01	 2	 0.0002206682045
494652.01	 3	 0.0002206709006
494658.97	 1	 0.0002207632974
494658.97	 2	 0.000220764047
494658.97	 3	 0.0002207667147
494665.93	 1	 0.0002208582172
494665.93	 2	 0.0002208589558
494665.93	 3	 0.0002208615995
494672.89	 1	 0.000220952095
494672.89	 2	 0.0002209528206
494672.89	 3	 0.0002209554364
494679.84	 1	 0.0002210450441
494679.84	 2	 0.000221045759
494679.84	 3	 0.0002210483511
494686.79	 1	 0.0002211369607
494686.79	 2	 0.000221137663
494686.79	 3	 0.0002211402276
494693.72	 1	 0.0002212278453
494693.72	 2	 0.0002212285351
494693.72	 3	 0.0002212310725
494700.66	 1	 0.0002213178144
494700.66	 2	 0.0002213184939
494700.66	 3	 0.0002213210082
494707.59	 1	 0.0002214067675
494707.59	 2	 0.0002214074347
494707.59	 3	 0.0002214099223
494714.51	 1	 0.0002214948129
494714.51	 2	 0.0002214954701
494714.51	 3	 0.0002214979349
494721.43	 1	 0.0002215818528
494721.43	 2	 0.0002215824979
494721.43	 3	 0.0002215849364
494728.35	 1	 0.000221667993
494728.35	 2	 0.0002216686282
494728.35	 3	 0.0002216710442
494735.26	 1	 0.0002217531371
494735.26	 2	 0.0002217537607
494735.26	 3	 0.0002217561505
494742.17	 1	 0.0002218373899
494742.17	 2	 0.0002218380041
494742.17	 3	 0.0002218403719
494749.07	 1	 0.0002219206587
494749.07	 2	 0.0002219212615
494749.07	 3	 0.0002219236036
494755.96	 1	 0.0002220029449
494755.96	 2	 0.0002220035367
494755.96	 3	 0.0002220058535
494762.85	 1	 0.0002220843562
494762.85	 2	 0.0002220849388
494762.85	 3	 0.0002220872341
494769.73	 1	 0.0002221648026
494769.73	 2	 0.0002221653743
494769.73	 3	 0.0002221676448
494776.61	 1	 0.0002222443841
494776.61	 2	 0.0002222449467
494776.61	 3	 0.0002222471962
494783.49	 1	 0.0002223230124
494783.49	 2	 0.0002223235644
494783.49	 3	 0.0002223257894
494790.36	 1	 0.0002224007854
494790.36	 2	 0.0002224013286
494790.36	 3	 0.0002224035329
494797.22	 1	 0.0002224776167
494797.22	 2	 0.0002224781495
494797.22	 3	 0.0002224803298
494804.09	 1	 0.0002225536019
494804.09	 2	 0.0002225541259
494804.09	 3	 0.0002225562856
494810.94	 1	 0.0002226286559
494810.94	 2	 0.0002226291698
494810.94	 3	 0.0002226313058
494817.8	 1	 0.0002227028732
494817.8	 2	 0.0002227033787
494817.8	 3	 0.0002227054945
494824.64	 1	 0.0002227761721
494824.64	 2	 0.0002227766678
494824.64	 3	 0.0002227787604
494831.49	 1	 0.000222848645
494831.49	 2	 0.0002228491326
494831.49	 3	 0.0002228512054
494838.32	 1	 0.0002229202123
494838.32	 2	 0.0002229206902
494838.32	 3	 0.0002229227402
494845.16	 1	 0.000222990964
494845.16	 2	 0.0002229914338
494845.16	 3	 0.0002229934645
494851.99	 1	 0.0002230608218
494851.99	 2	 0.0002230612821
494851.99	 3	 0.0002230632904
494858.82	 1	 0.0002231298733
