# Time	Cd	Cl	Cm
3640.79512	1.93150031	7.293699328e-06	-9.560926534
3649.621125	1.931461125	7.316673109e-06	-9.56073257
3658.447131	1.93142346	7.352431009e-06	-9.560546125
3667.273137	1.931397915	7.390253978e-06	-9.56041968
3676.099143	1.931388384	7.427214806e-06	-9.560372499
3684.925148	1.931420501	7.477692451e-06	-9.560531481
3693.751154	1.931629528	7.498401253e-06	-9.561566162
3702.57716	1.930918549	7.556990946e-06	-9.558046818
3711.403165	1.930844511	7.576106306e-06	-9.55768033
3720.229171	1.93088533	7.600500592e-06	-9.557882384
3729.055177	1.93091146	7.638604337e-06	-9.558011725
3737.881183	1.93093837	7.659072671e-06	-9.558144931
3746.707188	1.931009503	7.67143547e-06	-9.558497038
3755.533194	1.931137365	7.68140284e-06	-9.559129958
3764.3592	1.930556805	7.64816378e-06	-9.556256185
3773.185205	1.930135372	9.754708553e-06	-9.554170093
3782.011211	1.930186649	8.533325461e-06	-9.554423913
3790.837217	1.930149479	8.185950867e-06	-9.554239923
3799.663223	1.930078975	8.169427173e-06	-9.553890924
3808.489228	1.93000522	8.188464731e-06	-9.55352584
3817.315234	1.930123584	1.173614675e-05	-9.554111742
3826.14124	1.930245216	7.342844127e-06	-9.554713822
3834.967245	1.929511953	7.703362933e-06	-9.551084167
3843.793251	1.929180983	8.000544272e-06	-9.549445864
3852.619257	1.928931217	8.142648054e-06	-9.548209523
3861.445263	1.928643718	8.213048537e-06	-9.546786405
3870.271268	1.928283387	8.237852409e-06	-9.545002764
3879.097274	1.927943845	8.272323579e-06	-9.543322034
3887.92328	1.928233259	7.914469619e-06	-9.544754631
3896.749285	1.928290981	1.042737937e-05	-9.545040357
3905.575291	1.928609075	8.8553648e-06	-9.546614923
3914.401297	1.928601784	9.575643427e-06	-9.54657883
3923.227303	1.928681802	8.654975735e-06	-9.546974918
3932.053308	1.928287934	8.622747898e-06	-9.545025272
3940.879314	1.928080058	8.841460087e-06	-9.54399629
3949.70532	1.927807835	8.581422262e-06	-9.542648784
3958.531325	1.927527136	8.8652434e-06	-9.541259325
3967.357331	1.927257336	8.879649804e-06	-9.539923814
3976.183337	1.926989011	8.925436336e-06	-9.538595607
3985.009343	1.926722668	8.981534119e-06	-9.537277206
3993.835348	1.926456458	9.01560898e-06	-9.535959468
4002.661354	1.926188639	9.052385652e-06	-9.534633761
4011.48736	1.925916917	9.078462782e-06	-9.533288737
4020.313365	1.925633462	9.09013367e-06	-9.531885637
4029.139371	1.92530641	8.996398642e-06	-9.53026673
4037.965377	1.925051155	9.463202649e-06	-9.529003216
4046.791383	1.925415373	9.216491826e-06	-9.530806095
4055.617388	1.924767052	9.002072219e-06	-9.52759691
4064.443394	1.924207568	1.020020654e-05	-9.524827463
4073.2694	1.923673491	1.160896426e-05	-9.522183779
4082.095405	1.923613826	8.879031825e-06	-9.52188844
4090.921411	1.923532027	9.129601353e-06	-9.521483531
4099.747417	1.922758298	9.141414563e-06	-9.517653577
4108.573423	1.922232651	9.404806853e-06	-9.515051623
4117.399428	1.92191506	9.445490017e-06	-9.513479545
4126.225434	1.921498941	9.578709135e-06	-9.511419757
